"replication","mse","coverage"
1,0.0999670644474151,0.891
2,0.0417992023267272,0.994
3,0.0248985764943384,0.997
4,0.0323145636871297,0.994
5,0.00501946106426536,1
6,0.0147564719407293,1
7,0.0239190812343447,0.999
8,0.0342995080365514,0.999
9,0.00604409807618581,1
10,0.0406074898523367,0.991
11,0.073554335382961,0.924
12,0.149545659167734,0.727
13,0.00388749613880476,1
14,0.025114093092282,1
15,0.00363573907290708,1
16,0.0239204181324668,0.999
17,0.0301470568730438,0.991
18,0.0109143114304481,1
19,0.0122339309144177,1
20,0.018151098155092,0.996
21,0.0190927006081756,1
22,0.0537551223539679,0.979
23,0.0211417103604785,0.999
24,0.0166018459550027,1
25,0.0185547874381408,1
26,0.00556628932284329,1
27,0.0175047953594433,1
28,0.0349358579818901,0.995
29,0.0134335193803168,0.999
30,0.0606231005076167,0.952
31,0.00920090463318931,1
32,0.00554464756850279,1
33,0.0406624325544028,0.997
34,0.00940520799642024,1
35,0.155708675793847,0.609
36,0.00354466410247186,1
37,0.00769589545421665,0.999
38,0.00306008066036836,1
39,0.00294244256780902,1
40,0.091261589589368,0.845
41,0.0275336697708971,0.998
42,0.0129050772519398,1
43,0.0116014829029883,1
44,0.0144912825679518,1
45,0.0237415130095831,1
46,0.032140024142675,0.995
47,0.0228454399613701,0.999
48,0.0792924642834502,0.862
49,0.0160195669499758,1
50,0.00281117255851601,1
51,0.0420214518080045,0.999
52,0.0154180319301994,1
53,0.0600484701081355,0.947
54,0.0196472355520955,0.999
55,0.0380699940233978,0.991
56,0.029864844243507,0.998
57,0.00749824880598715,1
58,0.0236878158263689,1
59,0.132339376636396,0.659
60,0.035010224154474,0.992
61,0.0467849476694521,0.99
62,0.00630791704878747,1
63,0.00384746846073858,1
64,0.00333368937934997,1
65,0.11120504495859,0.793
66,0.00197362505335108,1
67,0.0264073888975209,0.999
68,0.010480358241105,1
69,0.0883587212870405,0.886
70,0.0918691581156957,0.897
71,0.00405290155559517,1
72,0.0644897264118936,0.977
73,0.0377380086926295,0.996
74,0.0577442394200881,0.963
75,0.110233097472602,0.766
76,0.0738103531211244,0.915
77,0.00223340798353867,1
78,0.00429523056247194,1
79,0.00426101230836898,1
80,0.00511858040590129,0.999
81,0.149509854987712,0.595
82,0.036846461794296,0.994
83,0.0049647359848447,1
84,0.043705719072307,0.99
85,0.131641656729063,0.679
86,0.0233509182635669,1
87,0.0782489005439007,0.935
88,0.0519120525510252,0.981
89,0.00940222283050428,1
90,0.0739932666099841,0.928
91,0.0365997393298819,0.997
92,0.0755971208288581,0.941
93,0.0248355340222306,0.998
94,0.0181960211934556,1
95,0.052427234343267,0.983
96,0.0142861338480326,1
97,0.0576201161763768,0.958
98,0.0165272752858909,0.999
99,0.0151537181169268,0.999
100,0.0404306744413145,0.996
101,0.0160370817352636,1
102,0.0329246289937969,0.998
103,0.137123206195763,0.756
104,0.0562285796638707,0.98
105,0.120784018932806,0.788
106,0.0151318604595746,1
107,0.017591631701014,0.999
108,0.101481173155836,0.864
109,0.00368162787993913,1
110,0.0467252338552065,0.986
111,0.0301568717737206,1
112,0.0357499367302269,0.996
113,0.00458309061497613,1
114,0.0533096848078873,0.968
115,0.0200337208581914,1
116,0.00511659344117301,1
117,0.0647800861056508,0.982
118,0.00958350450666836,1
119,0.00545333174237944,1
120,0.0396722966269337,0.988
121,0.0285612545129854,0.997
122,0.0396055381898386,0.986
123,0.0250030299427615,0.996
124,0.021547011716536,1
125,0.0607788265980713,0.924
126,0.0174601934552357,1
127,0.0108399387620496,1
128,0.0576987391522417,0.981
129,0.00584304896144871,1
130,0.00376986355496824,1
131,0.00499904072739466,1
132,0.00458460580842104,1
133,0.00312025731007531,1
134,0.0260960338840185,0.997
135,0.00399022210633767,1
136,0.00955037399164761,1
137,0.0313920719843274,0.999
138,0.0555736759725692,0.991
139,0.037999456754338,0.997
140,0.020775559937975,1
141,0.00662118602872113,1
142,0.019950745843881,1
143,0.0158731170366676,0.998
144,0.00323015152103433,1
145,0.0190276759289414,1
146,0.00578937675422232,1
147,0.0110611408523758,1
148,0.0112021930058546,1
149,0.0173147807342776,1
150,0.0206461996560008,1
151,0.00515236499495431,1
152,0.0556232243350886,0.978
153,0.0124292106252729,1
154,0.0046395257123493,1
155,0.0580369837961361,0.973
156,0.171325301792357,0.598
157,0.0138561115357505,1
158,0.0293194274939628,0.996
159,0.0351625989798954,0.996
160,0.00701804574588855,1
161,0.0340273618865096,0.996
162,0.0360162765279769,0.994
163,0.0363920893532863,0.998
164,0.0193758409294412,1
165,0.0322228528521175,0.998
166,0.0488997493925909,0.986
167,0.0416948591828877,0.992
168,0.0486401352133799,0.975
169,0.0263702406463902,0.999
170,0.00573556930640724,1
171,0.00266500531490355,1
172,0.00956347490860346,1
173,0.0552703107211343,0.982
174,0.0422633241269716,0.99
175,0.047433930785904,0.99
176,0.0764068310266392,0.928
177,0.0103760248462557,1
178,0.0191167995857128,1
179,0.0328812131258574,0.992
180,0.0153417621543346,1
181,0.0163557296500068,0.999
182,0.00773913059674884,1
183,0.0576656585259364,0.953
184,0.0133792685757854,0.998
185,0.0356153632383171,0.999
186,0.0627249295918006,0.972
187,0.0323466513740368,0.999
188,0.00934706239484336,1
189,0.00572126164055747,1
190,0.00729777634616556,1
191,0.0540068746830355,0.984
192,0.00911121201125801,1
193,0.0378511922433991,0.993
194,0.00645594089556372,1
195,0.0225460226284372,1
196,0.0422205129761902,0.999
197,0.0116408256123507,1
198,0.00285072168429875,1
199,0.00638743939885075,1
200,0.0244996529531849,1
201,0.0180059897450835,1
202,0.0331563749963922,0.992
203,0.0278616688674513,0.999
204,0.0637256940776194,0.982
205,0.054485487343865,0.964
206,0.036725410629997,0.99
207,0.00498115637255096,1
208,0.0535548999057444,0.983
209,0.00532744328831198,1
210,0.0557736925481924,0.962
211,0.0214089867878899,0.999
212,0.0289062137350192,0.997
213,0.00337821856998443,1
214,0.0383120351016864,0.996
215,0.0209856207890944,0.998
216,0.0108072577200705,1
217,0.0184741698305496,0.997
218,0.0291889689546698,0.993
219,0.0487347436485345,0.973
220,0.0167096723369401,1
221,0.00380047669898732,1
222,0.0161480535185842,1
223,0.00681429775263204,1
224,0.0555156065782615,0.963
225,0.0357294063344606,0.995
226,0.0146050658495699,0.999
227,0.0149886307994509,0.999
228,0.0345219255018269,0.996
229,0.0190262907173048,1
230,0.034915100474782,0.996
231,0.0236715175595332,0.998
232,0.00814708033936892,1
233,0.00466404198964779,1
234,0.0439024666909034,0.978
235,0.00386736769674706,1
236,0.0340275744657184,0.991
237,0.0420443557914379,0.997
238,0.0372129366430859,0.999
239,0.0352056529417836,0.993
240,0.0184744362154975,0.999
241,0.026478490314799,1
242,0.0650548168587557,0.939
243,0.0247856553637267,1
244,0.0236746493556141,1
245,0.063664480789444,0.967
246,0.0157914271390373,1
247,0.0204140136778113,0.999
248,0.010660940032689,1
249,0.0320860171728346,0.999
250,0.0654224798437799,0.962
251,0.0528099225625762,0.971
252,0.0321101393237206,0.998
253,0.140122243316124,0.642
254,0.0077546387998338,1
255,0.010413437280496,1
256,0.00386573990497553,1
257,0.103518865598579,0.869
258,0.0414410185710917,0.995
259,0.00584173575423144,1
260,0.0269200886336925,0.998
261,0.0158051948403318,1
262,0.0128235920264246,0.999
263,0.0295349387359507,0.998
264,0.0657132977015707,0.929
265,0.0304672221771215,0.997
266,0.120065748686384,0.808
267,0.00946690699068717,1
268,0.0202973895117253,0.998
269,0.0347958316110854,0.994
270,0.0133807639558075,1
271,0.0322327539831839,1
272,0.00452787800398776,1
273,0.0741101221192523,0.944
274,0.0654626859658302,0.946
275,0.0721991917562197,0.949
276,0.0112326090354517,1
277,0.0173917438288915,1
278,0.0548760851748517,0.993
279,0.00347179123603412,1
280,0.057651784238641,0.977
281,0.0708340411806255,0.934
282,0.0536085483455904,0.978
283,0.00813901761262712,1
284,0.0114242661096079,1
285,0.0172946648805965,1
286,0.0137824569860113,1
287,0.0335926942135009,0.999
288,0.0128602112816307,1
289,0.0746650456376137,0.935
290,0.0103955866226126,1
291,0.030503816589999,0.988
292,0.0483516080743192,0.993
293,0.0378555987339475,0.992
294,0.0143137580397753,0.999
295,0.0124107319169393,1
296,0.11550770548569,0.698
297,0.0138051407125703,1
298,0.0296611930059114,1
299,0.0251417469582347,0.999
300,0.0255901026231889,0.999
301,0.00561380041833106,1
302,0.00494524189357132,1
303,0.0318596408475226,0.992
304,0.0274551434308663,0.998
305,0.0157933081197304,1
306,0.00748189859306695,1
307,0.0259526141428696,0.995
308,0.066430203724549,0.959
309,0.00587547552554698,1
310,0.0370945207982859,0.994
311,0.0127393982608078,1
312,0.107522842102692,0.862
313,0.0193424866430651,1
314,0.0649043307734928,0.926
315,0.0128780011673271,1
316,0.0781414795762689,0.914
317,0.0148675078957223,0.999
318,0.0239470530117227,0.997
319,0.0268032606923516,0.999
320,0.00849376938882968,1
321,0.0534687912979078,0.993
322,0.0323957412208906,0.999
323,0.0245198668144107,0.997
324,0.00339735638474781,1
325,0.0309218213126661,0.998
326,0.0288330431617395,0.997
327,0.00303457068632162,1
328,0.0577711505377893,0.96
329,0.0238420357727048,1
330,0.00406345813944542,1
331,0.0237119223536057,1
332,0.0374894303372452,0.991
333,0.0478980410668003,0.992
334,0.0351460712335627,1
335,0.063102851596838,0.958
336,0.0266532646556263,1
337,0.0326773838824628,0.99
338,0.0116362285042204,0.999
339,0.00649135818606198,1
340,0.0328555949042168,0.998
341,0.00598041058628194,1
342,0.0428163059359272,0.993
343,0.0608491238433857,0.982
344,0.144719827329352,0.632
345,0.0818649579164005,0.927
346,0.120934106162269,0.779
347,0.0309258836099449,0.999
348,0.00973230522182756,1
349,0.0428897515005146,0.991
350,0.0131814986505778,1
351,0.0182113861453941,1
352,0.00317691609103477,1
353,0.0562713479372315,0.978
354,0.00655603222145318,1
355,0.0089707066448587,1
356,0.01371445332893,1
357,0.028624737029073,0.996
358,0.0267973013961952,1
359,0.0219233869688645,0.999
360,0.0952979280885566,0.894
361,0.10957407037629,0.787
362,0.0820656335623795,0.953
363,0.0500963692692894,0.983
364,0.0138444660790324,1
365,0.0191999538828487,0.999
366,0.053064586317758,0.971
367,0.0526890303034682,0.956
368,0.0282353790967732,0.999
369,0.00246585757151834,1
370,0.0205033833414792,1
371,0.0205023295534989,0.998
372,0.0246297085095791,0.999
373,0.0350331620573673,0.999
374,0.0378850583403878,0.99
375,0.0498060652504767,0.996
376,0.0246092742859303,0.998
377,0.0219207307556841,0.997
378,0.0173947460141452,0.999
379,0.0187453098872723,1
380,0.003195746074065,1
381,0.0394590437111398,1
382,0.00286669431426179,1
383,0.0272963761626027,0.998
384,0.00435790682278557,1
385,0.0217244416708316,0.997
386,0.0353341594606302,0.999
387,0.00590788849898897,1
388,0.0137603932586248,1
389,0.0411392472164672,0.982
390,0.0771935225410458,0.865
391,0.0038044548324246,1
392,0.0250366653340984,0.995
393,0.0648154023507421,0.956
394,0.0384389455578346,0.998
395,0.00348329433191056,1
396,0.0362846029011291,0.991
397,0.00380172435766287,1
398,0.0994149410849173,0.874
399,0.0542295908242499,0.981
400,0.0775232019014892,0.924
401,0.0354693962269329,0.993
402,0.0479891176564005,0.984
403,0.0498478987102148,0.987
404,0.00282369401304792,1
405,0.0112821625409863,1
406,0.0430337356353865,0.985
407,0.0279366593083877,0.996
408,0.0377200510023078,0.995
409,0.00736658368012693,1
410,0.0138083588338346,1
411,0.0184492739806295,1
412,0.0430757487396657,0.988
413,0.00805777424700605,1
414,0.0426691204943824,0.983
415,0.0654443640810448,0.965
416,0.0286388105689328,0.996
417,0.032544593922587,0.994
418,0.0529488623204961,0.979
419,0.020981783181047,0.997
420,0.0424606867960066,0.99
421,0.112408341336353,0.76
422,0.0670141547166641,0.98
423,0.0182169352287054,1
424,0.0718169395847744,0.958
425,0.0600014346328352,0.955
426,0.153658197724857,0.64
427,0.0333036840700237,0.993
428,0.0423670077200658,0.983
429,0.0118065072758247,1
430,0.117402541710032,0.788
431,0.0997839442241905,0.774
432,0.0127524982989976,1
433,0.0469979488420125,0.974
434,0.143597433865607,0.506
435,0.0463152828235559,0.992
436,0.0116015130753641,1
437,0.0458368292422406,0.965
438,0.105538013441944,0.752
439,0.0595885405724259,0.969
440,0.0542406609351874,0.977
441,0.00359638167643364,1
442,0.00664250718451425,1
443,0.071035317338905,0.951
444,0.0753095189956194,0.917
445,0.0819984188144673,0.92
446,0.0370486222767214,0.986
447,0.018041775858011,1
448,0.0651583119636147,0.906
449,0.0114255864683299,1
450,0.0236381962186405,0.999
451,0.0192469275329725,0.996
452,0.0117113680519857,1
453,0.00466727697390143,1
454,0.039167155198354,0.994
455,0.0245172516874427,0.999
456,0.0455563910711846,0.989
457,0.0431652738424419,0.987
458,0.0258643488603265,0.996
459,0.0955827580010783,0.883
460,0.0235810109384619,1
461,0.022343523957202,1
462,0.00823029503750678,1
463,0.0151407526169352,1
464,0.00433549590812184,1
465,0.0961913494898429,0.862
466,0.0095417807460724,1
467,0.0174297755029697,1
468,0.0051221752616428,1
469,0.0374483069911186,0.993
470,0.0362970398020963,0.997
471,0.0584892092391209,0.957
472,0.075314142496374,0.919
473,0.00391280243813757,1
474,0.0163149192943919,0.997
475,0.019806749746518,0.999
476,0.0140758511042622,0.999
477,0.0323341059757835,0.989
478,0.0151747813226795,1
479,0.00759655791345024,1
480,0.0222768817508214,0.993
481,0.0347143540388701,1
482,0.0777265962688507,0.955
483,0.0216448730303509,1
484,0.0282172427900885,0.999
485,0.037577011662121,0.992
486,0.00423661921031881,1
487,0.00356720982223345,1
488,0.0590925467829233,0.976
489,0.00707615350412472,1
490,0.00609476674061486,1
491,0.0122747249277353,1
492,0.00668877709661707,1
493,0.0626555102242921,0.973
494,0.0534217603844201,0.976
495,0.0469957094590056,0.981
496,0.0125715260371169,1
497,0.0796595215843843,0.949
498,0.00617867271975446,1
499,0.0552571567612738,0.968
500,0.0038304772916406,1
