"replication","mse","coverage"
1,0.00970149020309573,1
2,0.0108752370180774,0.995
3,0.0125460494489501,1
4,0.0449046292918688,0.983
5,0.0292876891001369,0.997
6,0.0102964112744559,0.996
7,0.0205022575670019,0.996
8,0.0091459498671923,1
9,0.0152356330595449,1
10,0.0165806584862015,0.999
11,0.0202725479904636,0.999
12,0.0594067339025434,0.912
13,0.00827336568099876,1
14,0.0114473985104838,1
15,0.034530626618818,0.983
16,0.0606013219523088,0.883
17,0.0618447518371327,0.954
18,0.037810786824532,0.993
19,0.00832650679519361,1
20,0.00779114403917027,1
21,0.0320695983817948,0.985
22,0.0252874147877067,0.987
23,0.0120956778452196,1
24,0.0395277914294533,0.939
25,0.00792527397394068,1
26,0.0109744546969244,0.999
27,0.0284703763335048,0.983
28,0.0160897324090959,1
29,0.00586476259677029,1
30,0.00949711604846868,1
31,0.00951001876926563,0.998
32,0.0165484587241077,0.998
33,0.0136103109519376,0.999
34,0.0753933207337723,0.85
35,0.0491730937967064,0.965
36,0.015632085572864,0.994
37,0.0427776409464151,0.959
38,0.0196490688111915,1
39,0.0279129828567532,0.986
40,0.0106944963674475,1
41,0.0367446257302081,0.977
42,0.0233998729522923,1
43,0.0176408463370237,1
44,0.012080575203792,1
45,0.0228964220086498,0.997
46,0.00715303349548108,1
47,0.0241056970541521,0.996
48,0.00930864242151275,1
49,0.0123951118550066,0.995
50,0.0183773720899749,0.996
51,0.0170758032840526,0.999
52,0.0331296210157073,0.983
53,0.0170488465508114,0.996
54,0.0129778993826354,1
55,0.0195103610167625,0.993
56,0.0354529878468159,0.969
57,0.0157904231920924,1
58,0.0162976598497363,0.999
59,0.0111120710188433,1
60,0.0530607492793272,0.902
61,0.0123613628594423,1
62,0.0598598122760389,0.844
63,0.0593957603243977,0.948
64,0.0333955106904203,0.981
65,0.0225888569633252,1
66,0.0239062902191529,1
67,0.0408447939467993,0.965
68,0.0180981953095458,0.998
69,0.00860160398081602,1
70,0.0159188307328804,0.999
71,0.0106649943553153,1
72,0.0439650062004873,0.965
73,0.0362807207411745,0.983
74,0.0495275028389074,0.923
75,0.0123781332046767,0.998
76,0.0339462286022203,0.964
77,0.00867973729052762,1
78,0.0258274567675003,0.985
79,0.00953726669626203,1
80,0.0134321274445751,1
81,0.00646730858598336,1
82,0.0205625958252023,0.994
83,0.0404687376154963,0.995
84,0.0184403633435583,1
85,0.0461548351625065,0.965
86,0.0135917582753883,0.998
87,0.0182725397665163,0.999
88,0.00674451725345999,1
89,0.0099843855360381,1
